date,country,new_cases,cases,new_deaths,deaths,death_rate,percent_case_increase,percent_death_increase,days_gt_10,days_gt_100
2020-01-22,Afghanistan,0,0,0,0,NaN,NA,NA,NA,NA
2020-01-23,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-24,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-25,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-26,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-27,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-28,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-29,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-30,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-31,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-01,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-02,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-03,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-04,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-05,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-06,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-07,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-08,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-09,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-10,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-11,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-12,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-13,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-14,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-15,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-16,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-17,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-18,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-19,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-20,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-21,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-22,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-23,Afghanistan,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-24,Afghanistan,1,1,0,0,0,Inf,NaN,NA,NA
2020-02-25,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-02-26,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-02-27,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-02-28,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-02-29,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-01,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-02,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-03,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-04,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-05,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-06,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-07,Afghanistan,0,1,0,0,0,0,NaN,NA,NA
2020-03-08,Afghanistan,3,4,0,0,0,300,NaN,NA,NA
2020-03-09,Afghanistan,0,4,0,0,0,0,NaN,NA,NA
2020-03-10,Afghanistan,1,5,0,0,0,25,NaN,NA,NA
2020-03-11,Afghanistan,2,7,0,0,0,39.99999999999999,NaN,NA,NA
2020-03-12,Afghanistan,0,7,0,0,0,0,NaN,NA,NA
2020-03-13,Afghanistan,0,7,0,0,0,0,NaN,NA,NA
2020-03-14,Afghanistan,4,11,0,0,0,57.14285714285714,NaN,0,NA
2020-03-15,Afghanistan,5,16,0,0,0,45.45454545454546,NaN,1,NA
2020-03-16,Afghanistan,5,21,0,0,0,31.25,NaN,2,NA
2020-03-17,Afghanistan,1,22,0,0,0,4.761904761904767,NaN,3,NA
2020-03-18,Afghanistan,0,22,0,0,0,0,NaN,4,NA
2020-03-19,Afghanistan,0,22,0,0,0,0,NaN,5,NA
2020-03-20,Afghanistan,2,24,0,0,0,9.090909090909083,NaN,6,NA
2020-03-21,Afghanistan,0,24,0,0,0,0,NaN,7,NA
2020-03-22,Afghanistan,16,40,1,1,0.025,66.66666666666667,Inf,8,NA
2020-03-23,Afghanistan,0,40,0,1,0.025,0,0,9,NA
2020-03-24,Afghanistan,34,74,0,1,0.013513513513513514,85.00000000000001,0,10,NA
2020-03-25,Afghanistan,10,84,1,2,0.023809523809523808,13.513513513513509,100,11,NA
2020-03-26,Afghanistan,10,94,2,4,0.0425531914893617,11.904761904761907,100,12,NA
2020-03-27,Afghanistan,16,110,0,4,0.03636363636363636,17.021276595744684,0,13,0
2020-03-28,Afghanistan,0,110,0,4,0.03636363636363636,0,0,14,1
2020-03-29,Afghanistan,10,120,0,4,0.03333333333333333,9.090909090909083,0,15,2
2020-03-30,Afghanistan,50,170,0,4,0.023529411764705882,41.66666666666667,0,16,3
2020-03-31,Afghanistan,4,174,0,4,0.022988505747126436,2.35294117647058,0,17,4
2020-04-01,Afghanistan,63,237,0,4,0.016877637130801686,36.206896551724135,0,18,5
2020-04-02,Afghanistan,36,273,2,6,0.02197802197802198,15.189873417721511,50,19,6
2020-04-03,Afghanistan,8,281,0,6,0.021352313167259787,2.93040293040292,0,20,7
2020-04-04,Afghanistan,18,299,1,7,0.023411371237458192,6.4056939501779375,16.666666666666675,21,8
2020-04-05,Afghanistan,50,349,0,7,0.02005730659025788,16.722408026755865,0,22,9
2020-04-06,Afghanistan,18,367,4,11,0.02997275204359673,5.157593123209159,57.14285714285714,23,10
2020-04-07,Afghanistan,56,423,3,14,0.03309692671394799,15.258855585831066,27.27272727272727,24,11
2020-04-08,Afghanistan,21,444,0,14,0.03153153153153153,4.964539007092195,0,25,12
2020-04-09,Afghanistan,40,484,1,15,0.030991735537190084,9.009009009009006,7.14285714285714,26,13
2020-04-10,Afghanistan,37,521,0,15,0.028790786948176585,7.644628099173545,0,27,14
2020-04-11,Afghanistan,34,555,3,18,0.032432432432432434,6.525911708253362,19.999999999999996,28,15
2020-04-12,Afghanistan,52,607,0,18,0.029654036243822075,9.369369369369362,0,29,16
2020-04-13,Afghanistan,58,665,3,21,0.031578947368421054,9.55518945634266,16.666666666666675,30,17
2020-04-14,Afghanistan,49,714,2,23,0.03221288515406162,7.36842105263158,9.523809523809534,31,18
2020-04-15,Afghanistan,70,784,2,25,0.03188775510204082,9.80392156862746,8.695652173913038,32,19
2020-04-16,Afghanistan,56,840,5,30,0.03571428571428571,7.14285714285714,19.999999999999996,33,20
2020-04-17,Afghanistan,66,906,0,30,0.033112582781456956,7.857142857142851,0,34,21
2020-04-18,Afghanistan,27,933,0,30,0.03215434083601286,2.98013245033113,0,35,22
2020-04-19,Afghanistan,63,996,3,33,0.03313253012048193,6.7524115755627,10.000000000000009,36,23
2020-04-20,Afghanistan,30,1026,3,36,0.03508771929824561,3.0120481927710774,9.090909090909083,37,24
2020-04-21,Afghanistan,66,1092,0,36,0.03296703296703297,6.432748538011701,0,38,25
2020-04-22,Afghanistan,84,1176,4,40,0.034013605442176874,7.692307692307687,11.111111111111116,39,26
2020-01-22,Albania,0,0,0,0,NaN,NA,NA,NA,NA
2020-01-23,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-24,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-25,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-26,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-27,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-28,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-29,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-30,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-01-31,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-01,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-02,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-03,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-04,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-05,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-06,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-07,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-08,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-09,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-10,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-11,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-12,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-13,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-14,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-15,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-16,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-17,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-18,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-19,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-20,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-21,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-22,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-23,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
2020-02-24,Albania,0,0,0,0,NaN,NaN,NaN,NA,NA
